date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2020-05-03,15.8,8.6,10.4,5,,,97,80.7,79.5,62,8.4,5.3,4,-0.5,20,11.04,10.5,1,105,36,100.8,100.42,100.44,100.07,99.89,99.51,99.56,99.24,48300,27229.2,26550,4800,,,,,7.6,0,5.4,3.4,0.4,10.2,,,,05:26:00,19:57:00,14.52,5.43,19.95,2,5,12,12,5,5,,,,,,8,7.6,7,6,,,,
2020-05-02,16.8,9.43,9.9,3,,,91,58.9,60.5,30,2.2,0.7,0.2,-1.8,21,13.17,13,5,35,31,101.3,101.01,101.05,100.8,100.33,100.08,100.12,99.92,48300,39225,36200,24100,,,,,8.1,0,4.9,2.9,0,0,,,,05:28:00,19:56:00,14.47,5.47,19.93,6,7,16,16,3,3,,,,,,7,4.5,4,1,,,,
2020-05-01,14,8.18,8.44,2.9,,,99,88.2,84,69,11.7,6.2,6.2,0.8,26,13,15,4,37,33,101.5,100.8,100.95,100.4,100.61,99.89,100.03,99.45,48300,15904.2,24750,1200,,,,,9.6,0,3.4,1.4,0,15.1,,,,05:29:00,19:55:00,14.43,5.48,19.92,1,1,9,10,-1,-1,,,,,,8,7,5,2,,,,
2020-04-30,7.1,6.07,6.35,5.6,,,96,86.8,80.5,65,5.4,4,3.2,1,26,20.5,20,14,32,7,102.5,102.16,102.05,101.6,101.56,101.23,101.11,100.66,48300,23666.7,27350,6400,,,,,11.7,0,1.4,0,0,12,,,,05:31:00,19:53:00,14.37,5.52,19.88,2,2,9,9,5,5,,,,,,8,8,7.5,7,,,,
2020-04-29,15.5,8,6.9,-1.7,,-3,86,55.8,60.5,35,1.2,-1,-1,-3.3,37,21.58,19.5,2,39,8,102.8,102.58,102.6,102.4,101.89,101.65,101.68,101.47,48300,37545.8,36200,24100,,,,,11.1,0,1.9,0,0,0,,,,05:32:00,19:52:00,14.33,5.53,19.87,6,7,12,13,3,3,,,,,,8,3.6,4,0,,,,
2020-04-28,12.6,6.33,6.3,0,,,76,54,53.5,31,-1.2,-2.9,-3.2,-5.2,31,18.29,18.5,6,36,10,102.3,102.19,102.2,102.1,101.41,101.26,101.28,101.14,48300,39225,36200,24100,,,,,11.7,0,1.3,0,0,0,,,,05:34:00,19:50:00,14.27,5.57,19.83,5,6,10,11,-1,-1,,,,,,8,6.8,4.5,1,,,,
2020-04-27,10.1,5.8,6.5,2.9,,,63,43.4,48,33,-3.1,-6,-6.7,-10.2,45,28.33,31,17,47,6,102.3,102.17,102.15,102,101.36,101.25,101.22,101.09,48300,38830.4,36200,24100,,,,,11.5,0,1.5,0,0,0,,,,05:36:00,19:49:00,14.22,5.6,19.82,5,6,7,10,2,2,,,,,,8,7.6,7,6,,,,
2020-04-26,12.6,6.68,5.8,-1,,-2,51,34.2,36.5,22,-7.2,-8.6,-8.8,-10.4,32,16.67,17,2,38,7,102.4,102.21,102.25,102.1,101.45,101.27,101.28,101.12,48300,36529.2,36200,24100,,,,,12.2,0,0.8,0,0,0,,,,05:37:00,19:48:00,14.18,5.62,19.8,6,6,8,13,1,2,,,,,,8,4.4,4,0,,,,
2020-04-25,12.7,5.31,4.94,-2.8,,-5,69,31.9,42.5,16,-7,-11.5,-10.9,-14.8,21,9.33,11.5,2,35,28,102.1,101.78,101.7,101.3,101.14,100.84,100.75,100.36,48300,37212.5,36200,24100,,,,,13.1,0,0,0,0,0,,,0,05:39:00,19:46:00,14.12,5.65,19.77,6,6,11,12,-6,-6,,,,,,4,1.1,2,0,,,,
2020-04-24,10.4,2.9,1.85,-6.7,,-9,68,36.2,43,18,-5.8,-11.9,-11,-16.2,23,9.88,12.5,2,,,101.5,101.3,101.25,101,100.59,100.36,100.33,100.07,48300,34837.5,36200,24100,,,,,16.1,0,0,0,0,0,,,1,05:41:00,19:45:00,14.07,5.68,19.75,7,7,9,9,-7,-7,,,,,,2,0.8,1,0,,,,
2020-04-23,5.7,-0.85,-0.64,-7,,-15,56,41.1,40.5,25,-9.9,-12.9,-12.6,-15.3,42,25.17,23.5,5,50,25,101.4,101.12,101.1,100.8,100.49,100.17,100.15,99.82,48300,38820.8,35400,22500,,,,,18.6,0,0,0,0,0,,,1,05:43:00,19:44:00,14.02,5.72,19.73,6,7,6,6,-9,-9,,,,,,8,1.7,4,0,,,,
2020-04-22,-0.8,-2.88,-3,-5.2,,-13,88,61.2,68.5,49,-1.9,-9.5,-7.3,-12.7,35,27.04,25.5,16,51,28,100.7,100,100.1,99.5,99.75,99.07,99.15,98.55,40200,29208.3,29750,19300,,,,,21,0,0,0,0,0,,,1,05:44:00,19:42:00,13.97,5.73,19.7,2,2,-2,-1,-6,-6,,,,,,8,6.7,6,4,,,,
2020-04-21,6.9,1.17,0.65,-5.6,,-10,92,74.1,69.5,47,3.1,-3.3,-2.5,-8.2,43,21.08,24.5,6,49,17,100.5,99.77,99.9,99.3,99.61,98.85,99.01,98.42,48300,29625,25750,3200,,,,,17.4,0,0,0,0,4.7,,,1,05:46:00,19:41:00,13.92,5.77,19.68,5,5,8,8,-4,-3,,,,,,8,6.3,4,0,,,,
